FC Nantes	Quentin Merlin	0	0	0	20/21 (95%)	1 (0)	0 (0)	1 (0)	32'	F	7.2
FC Nantes	Kalifa Coulibaly	0	0	1	5/8 (63%)	13 (8)	4 (2)	9 (6)	58'	F	7.0	
FC Nantes	Pedro Chirivella	0	0	3	70/77 (91%)	10 (6)	9 (5)	1 (1)	90'	M	7.0
FC Nantes	Andrei Girotto	0	0	4	27/30 (90%)	12 (6)	9 (4)	3 (2)	90'	D	6.9
FC Nantes	Marcus Coco	0	0	0	14/17 (82%)	9 (4)	8 (4)	1 (0)	77'	M	6.9
FC Nantes	Alban Lafont	0	0	0	15/20 (75%)	1 (1)	0 (0)	1 (1)	90'	G	6.8
FC Nantes	Ludovic Blas	0	0	0	39/43 (91%)	6 (2)	6 (2)	0 (0)	90'	M	6.8
FC Nantes	Samuel Moutoussamy	0	0	0	40/43 (93%)	1 (0)	1 (0)	0 (0)	77'	M	6.6
FC Nantes	Willem Geubbels	0	0	0	4/5 (80%)	2 (2)	1 (1)	1 (1)	13'	F	6.6
FC Nantes	Fábio	0	0	2	16/21 (76%)	12 (6)	12 (6)	0 (0)	58'	D	6.4
FC Nantes	Sébastien Corchia	0	0	1	5/6 (83%)	4 (2)	4 (2)	0 (0)	42'	D	6.4
FC Nantes	Wylan Cyprien	0	0	2	10/11 (91%)	3 (2)	3 (2)	0 (0)	13'	M	6.4
FC Nantes	Jean-Charles Castelletto	0	0	2	14/15 (93%)	5 (2)	5 (2)	0 (0)	90'	D	6.3
FC Nantes	Osman Bukari	0	0	1	13/13 (100%)	7 (2)	7 (2)	0 (0)	32'	M	6.1
FC Nantes	Randal Kolo Muani	1	0	3	21/26 (81%)	17 (7)	15 (5)	2 (2)	90'	M	6.1
FC Nantes	Dennis Appiah	0	0	0	20/21 (95%)	3 (0)	3 (0)	0 (0)	48'	D	5.8